Position_um,Timestamp
17284.0,2025-12-11 15:05:32.224019
17286.010050251258,2025-12-11 15:05:36.548954
17288.020100502512,2025-12-11 15:05:40.860944
17290.03015075377,2025-12-11 15:05:45.164722
17292.040201005024,2025-12-11 15:05:49.479858
17294.05025125628,2025-12-11 15:05:53.793635
17296.06030150754,2025-12-11 15:05:58.112937
17298.070351758794,2025-12-11 15:06:02.426825
17300.08040201005,2025-12-11 15:06:06.746833
17302.090452261305,2025-12-11 15:06:11.058620
17304.100502512563,2025-12-11 15:06:15.383451
17306.110552763817,2025-12-11 15:06:19.710609
17308.120603015075,2025-12-11 15:06:24.024817
17310.130653266333,2025-12-11 15:06:28.334022
17312.140703517587,2025-12-11 15:06:32.649245
17314.150753768845,2025-12-11 15:06:36.963211
17316.1608040201,2025-12-11 15:06:41.280983
17318.170854271357,2025-12-11 15:06:45.607524
17320.180904522615,2025-12-11 15:06:49.921916
17322.19095477387,2025-12-11 15:06:54.251865
17324.201005025127,2025-12-11 15:06:58.570162
17326.21105527638,2025-12-11 15:07:02.889797
17328.22110552764,2025-12-11 15:07:07.218613
17330.231155778896,2025-12-11 15:07:11.539052
17332.24120603015,2025-12-11 15:07:15.852582
17334.251256281408,2025-12-11 15:07:20.167825
17336.261306532662,2025-12-11 15:07:24.491505
17338.27135678392,2025-12-11 15:07:28.814042
17340.281407035174,2025-12-11 15:07:33.138099
17342.291457286432,2025-12-11 15:07:37.437256
17344.30150753769,2025-12-11 15:07:41.760603
17346.311557788944,2025-12-11 15:07:46.065303
17348.3216080402,2025-12-11 15:07:50.380214
17350.331658291456,2025-12-11 15:07:54.694723
17352.341708542714,2025-12-11 15:07:59.016864
17354.35175879397,2025-12-11 15:08:03.327051
17356.361809045226,2025-12-11 15:08:07.653458
17358.371859296483,2025-12-11 15:08:11.974584
17360.381909547737,2025-12-11 15:08:16.289620
17362.391959798995,2025-12-11 15:08:20.606776
17364.402010050253,2025-12-11 15:08:24.912963
17366.412060301507,2025-12-11 15:08:29.225594
17368.422110552765,2025-12-11 15:08:33.553477
17370.43216080402,2025-12-11 15:08:37.872741
17372.442211055277,2025-12-11 15:08:42.187554
17374.45226130653,2025-12-11 15:08:46.506241
17376.46231155779,2025-12-11 15:08:50.823775
17378.472361809047,2025-12-11 15:08:55.145377
17380.4824120603,2025-12-11 15:08:59.463709
17382.49246231156,2025-12-11 15:09:03.781740
17384.502512562813,2025-12-11 15:09:08.097156
17386.51256281407,2025-12-11 15:09:12.406276
