7.000329590e+02;4.122009614e-07
7.000390015e+02;1.057023383e-06
7.000451050e+02;1.546218527e-06
7.000512085e+02;1.757310088e-06
7.000573120e+02;1.640864639e-06
7.000633545e+02;1.233545959e-06
7.000694580e+02;6.423355217e-07
7.000755615e+02;6.039531986e-09
7.000816650e+02;6.039601264e-09
7.000877686e+02;6.039670097e-09
7.000938110e+02;6.039740263e-09
7.000999756e+02;6.039808653e-09
7.001060181e+02;6.039878819e-09
7.001121216e+02;6.039947653e-09
7.001182251e+02;6.040016931e-09
7.001243286e+02;6.040085765e-09
7.001303711e+02;6.040155931e-09
7.001364746e+02;6.040225209e-09
7.001425781e+02;6.040294043e-09
7.001486816e+02;6.040363321e-09
7.001547852e+02;6.040433043e-09
7.001608276e+02;6.040503209e-09
7.001669922e+02;6.040571154e-09
7.001730347e+02;6.040641320e-09
7.001791382e+02;6.040710154e-09
7.001852417e+02;6.040779432e-09
7.001913452e+02;6.040848266e-09
7.001973877e+02;6.040918432e-09
7.002034912e+02;6.040987710e-09
7.002096558e+02;6.041055656e-09
7.002156982e+02;6.041125822e-09
7.002218018e+02;6.041194656e-09
7.002279053e+02;6.041263489e-09
7.002340088e+02;6.041332767e-09
7.002400513e+02;1.434028718e-07
7.002461548e+02;3.954467420e-09
7.002523193e+02;3.954511829e-09
7.002583618e+02;3.954557570e-09
7.002644653e+02;3.954602867e-09
7.002705078e+02;3.954649053e-09
7.002766724e+02;3.954693462e-09
7.002827759e+02;3.954738315e-09
7.002888184e+02;3.954784056e-09
7.002949829e+02;3.954828909e-09
7.003010254e+02;3.954874650e-09
7.003071289e+02;3.954919947e-09
7.003132324e+02;3.954965244e-09
7.003193359e+02;1.323565328e-07
7.003254395e+02;2.134666602e-06
7.003314819e+02;4.108544545e-06
7.003375854e+02;5.778698778e-06
7.003436890e+02;6.851411399e-06
7.003497925e+02;7.079093848e-06
7.003558960e+02;6.328991276e-06
7.003619995e+02;4.633531717e-06
7.003681030e+02;2.202939413e-06
7.003742065e+02;1.059222654e-06
7.003802490e+02;1.059234819e-06
7.003864136e+02;1.059246756e-06
7.003924561e+02;1.059259034e-06
7.003985596e+02;1.059271199e-06
7.004046631e+02;1.059283250e-06
7.004107666e+02;1.059295300e-06
7.004168701e+02;1.059307465e-06
7.004229736e+02;1.059319516e-06
7.004290771e+02;1.059331566e-06
7.004351807e+02;1.059343617e-06
7.004412231e+02;1.059355895e-06
7.004473267e+02;1.059368060e-06
7.004534912e+02;1.059379997e-06
7.004595337e+02;1.059392275e-06
7.004656372e+02;1.059404212e-06
7.004717407e+02;1.059416377e-06
7.004778442e+02;1.059428428e-06
7.004839478e+02;1.059440592e-06
7.004900513e+02;1.059452643e-06
7.004961548e+02;1.059464694e-06
7.005022583e+02;1.059476858e-06
7.005083618e+02;1.059488795e-06
7.005144043e+02;1.059501074e-06
7.005205688e+02;1.059513011e-06
7.005266113e+02;1.059525289e-06
7.005327148e+02;2.306456054e-06
7.005388794e+02;3.417800372e-06
7.005449219e+02;4.321785127e-06
7.005510254e+02;5.010967470e-06
7.005571289e+02;5.534981028e-06
7.005632324e+02;5.973661700e-06
7.005693359e+02;6.401272458e-06
7.005754395e+02;6.854897947e-06
7.005815430e+02;7.317699783e-06
7.005876465e+02;7.721700058e-06
7.005937500e+02;7.967727470e-06
7.005998535e+02;7.954993634e-06
7.006059570e+02;7.610657576e-06
7.006120605e+02;6.911222499e-06
7.006181641e+02;5.891301953e-06
7.006242065e+02;4.639446161e-06
7.006303711e+02;3.283925025e-06
7.006364746e+02;1.972655127e-06
7.006425171e+02;8.511985357e-07
7.006486206e+02;4.184660440e-08
7.006547852e+02;1.929059934e-08
7.006608276e+02;1.929082316e-08
7.006669312e+02;1.929104165e-08
7.006730957e+02;7.007996601e-07
7.006791382e+02;1.531544058e-06
7.006852417e+02;2.340202627e-06
7.006913452e+02;2.953686590e-06
7.006975098e+02;3.226671879e-06
7.007035522e+02;3.068227215e-06
7.007096558e+02;2.460074938e-06
7.007157593e+02;1.462342993e-06
7.007218628e+02;2.050436052e-07
7.007279663e+02;2.050459500e-07
7.007340698e+02;2.050482806e-07
7.007402344e+02;2.050505827e-07
7.007462769e+02;2.050529417e-07
7.007523804e+02;2.050552865e-07
7.007584839e+02;2.050576171e-07
7.007645874e+02;2.050599477e-07
7.007706909e+02;2.050622783e-07
7.007767944e+02;2.050646231e-07
7.007828979e+02;2.050669394e-07
7.007890015e+02;2.782908837e-07
7.007951050e+02;5.284726967e-07
7.008012085e+02;5.410695394e-07
7.008073730e+02;3.843708214e-07
7.008134155e+02;1.347284098e-07
7.008195190e+02;4.186949454e-08
7.008256226e+02;4.186997060e-08
7.008317871e+02;4.187043601e-08
7.008378296e+02;4.187092273e-08
7.008439331e+02;4.187139524e-08
7.008500977e+02;4.187186775e-08
7.008562012e+02;4.187234381e-08
7.008622437e+02;4.187282343e-08
7.008683472e+02;4.187330305e-08
7.008745117e+02;4.187376845e-08
7.008806152e+02;4.187424452e-08
7.008866577e+02;4.187472413e-08
7.008927612e+02;4.187520375e-08
7.008989258e+02;4.187567271e-08
7.009050293e+02;4.187614522e-08
7.009111328e+02;4.187662483e-08
7.009172363e+02;4.187709735e-08
7.009233398e+02;4.187757341e-08
7.009294434e+02;4.187805303e-08
7.009355469e+02;4.187852554e-08
7.009416504e+02;1.155808377e-06
7.009477539e+02;2.054241349e-06
7.009538574e+02;2.595774049e-06
7.009599609e+02;2.698512617e-06
7.009660645e+02;2.368096830e-06
7.009721680e+02;1.699364702e-06
7.009782715e+02;8.499979458e-07
7.009844360e+02;4.041034174e-07
7.009905396e+02;4.041080217e-07
7.009965820e+02;4.041126829e-07
7.010026855e+02;4.041172872e-07
7.010088501e+02;4.041217778e-07
7.010149536e+02;4.041263821e-07
7.010210571e+02;4.041309296e-07
7.010270996e+02;4.041356192e-07
7.010332642e+02;4.041401098e-07
7.010393677e+02;4.041447141e-07
7.010454712e+02;4.041493185e-07
7.010515747e+02;9.135658843e-07
7.010576782e+02;1.318330305e-06
7.010637817e+02;1.509390358e-06
7.010698853e+02;1.411086487e-06
7.010760498e+02;1.017750037e-06
7.010821533e+02;4.096857538e-07
7.010882568e+02;2.569541380e-07
7.010943604e+02;2.569570370e-07
7.011004639e+02;2.569599644e-07
7.011065674e+02;2.569628919e-07
7.011126709e+02;2.569657909e-07
7.011187744e+02;2.569686899e-07
7.011248779e+02;1.107725780e-06
7.011309814e+02;1.895497007e-06
7.011370850e+02;2.481541060e-06
7.011432495e+02;2.783832315e-06
7.011493530e+02;2.776836709e-06
7.011554565e+02;2.471078915e-06
7.011615601e+02;1.885566121e-06
7.011676636e+02;1.028215365e-06
7.011737671e+02;7.990477613e-09
7.011798706e+02;7.990568207e-09
7.011860352e+02;7.990657025e-09
7.011921387e+02;7.990747619e-09
7.011982422e+02;7.990838213e-09
7.012042847e+02;7.990929696e-09
7.012104492e+02;7.991019402e-09
7.012165527e+02;7.991109108e-09
7.012226562e+02;7.991199702e-09
7.012288208e+02;7.991289408e-09
7.012349243e+02;7.991380002e-09
7.012410278e+02;7.991469708e-09
7.012470703e+02;7.991562079e-09
7.012532349e+02;7.991650897e-09
7.012593384e+02;7.991741491e-09
7.012654419e+02;7.991832085e-09
7.012715454e+02;7.991922679e-09
7.012777100e+02;7.992011497e-09
7.012838135e+02;7.992102091e-09
7.012899170e+02;7.992192685e-09
7.012960205e+02;7.992282391e-09
7.013021240e+02;7.992372986e-09
7.013082275e+02;7.992463580e-09
7.013143311e+02;7.992554174e-09
7.013204956e+02;7.992642992e-09
7.013265991e+02;7.992733586e-09
7.013327026e+02;7.992824180e-09
7.013388062e+02;3.102901189e-07
7.013449097e+02;1.234478418e-06
7.013510132e+02;2.151337640e-06
7.013571167e+02;2.959464837e-06
7.013632812e+02;3.628270633e-06
7.013693848e+02;4.212325621e-06
7.013754883e+02;4.830043963e-06
7.013815918e+02;5.610994776e-06
7.013877563e+02;6.629555173e-06
7.013938599e+02;7.850369002e-06
7.013999634e+02;9.109309758e-06
7.014060669e+02;1.014257577e-05
7.014121704e+02;1.065957804e-05
7.014182739e+02;1.043855355e-05
7.014243774e+02;9.413689440e-06
7.014305420e+02;7.722682312e-06
7.014366455e+02;5.695082564e-06
7.014427490e+02;3.780056659e-06
7.014488525e+02;2.432088422e-06
7.014550171e+02;1.987302539e-06
7.014611206e+02;2.567217507e-06
7.014672241e+02;4.039281521e-06
7.014733276e+02;6.047030183e-06
7.014794312e+02;8.102221727e-06
7.014855347e+02;9.713327927e-06
7.014916382e+02;1.051444178e-05
7.014978027e+02;1.035874175e-05
7.015039062e+02;9.351129847e-06
7.015100098e+02;7.811833711e-06
7.015161133e+02;6.182130619e-06
7.015222778e+02;4.899178748e-06
7.015283813e+02;4.275108040e-06
7.015344849e+02;4.414020168e-06
7.015406494e+02;5.189604508e-06
7.015467529e+02;6.288869827e-06
7.015528564e+02;7.308729437e-06
7.015589600e+02;7.877034477e-06
7.015651245e+02;7.762669156e-06
7.015712280e+02;6.942513664e-06
7.015773315e+02;5.605949355e-06
7.015834351e+02;4.096215434e-06
7.015895386e+02;2.807081046e-06
7.015956421e+02;2.066541128e-06
7.016017456e+02;2.042954520e-06
7.016079102e+02;2.701297490e-06
7.016140137e+02;3.821030077e-06
7.016201172e+02;5.067424809e-06
7.016262207e+02;6.091633622e-06
7.016323853e+02;6.627065432e-06
7.016384888e+02;6.552464583e-06
7.016445923e+02;5.904930276e-06
7.016506958e+02;4.843723673e-06
7.016568604e+02;3.581843657e-06
7.016629639e+02;2.311827984e-06
7.016690674e+02;1.151895049e-06
7.016752319e+02;1.289559037e-07
7.016813354e+02;1.289573532e-07
7.016874390e+02;1.289588027e-07
7.016935425e+02;1.289602665e-07
7.016997070e+02;1.289617018e-07
7.017058105e+02;1.289631513e-07
7.017119141e+02;1.289646008e-07
7.017180786e+02;1.289660361e-07
7.017241821e+02;1.289674856e-07
7.017302856e+02;1.289689493e-07
7.017363892e+02;1.289703988e-07
7.017425537e+02;1.654334937e-06
7.017486572e+02;3.641399871e-06
7.017547607e+02;5.254398275e-06
7.017608643e+02;6.256747838e-06
7.017670288e+02;6.525227491e-06
7.017731323e+02;6.069541087e-06
7.017792358e+02;5.020323897e-06
7.017854004e+02;3.590598226e-06
7.017915039e+02;2.022037961e-06
7.017976074e+02;5.305399213e-07
7.018037109e+02;3.637634052e-07
7.018098755e+02;3.637674411e-07
7.018159790e+02;3.637715338e-07
7.018220825e+02;3.637756265e-07
7.018281860e+02;3.637797192e-07
7.018343506e+02;3.637837551e-07
7.018404541e+02;3.637878478e-07
7.018466187e+02;3.637918837e-07
7.018527222e+02;3.637959765e-07
7.018588867e+02;3.638000123e-07
7.018649902e+02;3.638041051e-07
7.018710938e+02;3.638082262e-07
7.018772583e+02;3.638122621e-07
7.018833618e+02;3.638163548e-07
7.018894653e+02;3.638204475e-07
7.018955688e+02;3.638245403e-07
7.019017334e+02;3.638285762e-07
7.019078369e+02;3.638326689e-07
7.019139404e+02;3.638367616e-07
7.019201050e+02;3.638407975e-07
7.019262085e+02;1.214120175e-06
7.019323120e+02;1.845404427e-06
7.019384155e+02;2.176619546e-06
7.019445801e+02;2.156057690e-06
7.019506836e+02;1.779095783e-06
7.019567871e+02;1.097172685e-06
7.019629517e+02;2.141808721e-07
7.019690552e+02;2.141832738e-07
7.019752197e+02;2.141856328e-07
7.019813232e+02;2.141880628e-07
7.019874878e+02;2.141904218e-07
7.019935913e+02;2.141928377e-07
7.019996948e+02;2.141952393e-07
7.020057983e+02;2.141976552e-07
7.020119629e+02;2.142000142e-07
7.020180664e+02;9.948960269e-07
7.020241699e+02;2.148348131e-06
7.020303345e+02;3.166451506e-06
7.020364380e+02;3.916035894e-06
7.020426025e+02;4.280722351e-06
7.020487061e+02;4.179431016e-06
7.020548706e+02;3.586582579e-06
7.020609741e+02;2.548394377e-06
7.020670776e+02;1.188127271e-06
7.020731812e+02;3.509631341e-08
7.020793457e+02;3.509670421e-08
7.020854492e+02;3.509709856e-08
7.020915527e+02;3.509749291e-08
7.020977173e+02;3.509788016e-08
7.021038208e+02;3.509827451e-08
7.021099854e+02;3.509866175e-08
7.021160889e+02;3.509905611e-08
7.021222534e+02;3.509944335e-08
7.021283569e+02;3.509983770e-08
7.021344604e+02;4.180482449e-07
7.021405640e+02;5.644152452e-07
7.021467285e+02;5.745667409e-07
7.021528320e+02;5.719785463e-07
7.021589966e+02;6.514642905e-07
7.021651611e+02;8.418800803e-07
7.021712646e+02;1.097585255e-06
7.021773682e+02;1.321994546e-06
7.021834717e+02;1.414149438e-06
7.021896362e+02;1.319892363e-06
7.021957397e+02;1.066602636e-06
7.022019043e+02;7.661506629e-07
7.022080078e+02;5.825617109e-07
7.022141724e+02;6.745129895e-07
7.022202759e+02;1.133374553e-06
7.022263794e+02;1.940055881e-06
7.022325439e+02;2.958262712e-06
7.022386475e+02;3.968819328e-06
7.022448120e+02;4.734820777e-06
7.022509155e+02;5.076119123e-06
7.022570801e+02;4.927586360e-06
7.022631836e+02;4.361174433e-06
7.022692871e+02;3.564038934e-06
