Position_um,Power_W
0.0,0.00892895274
500.0,0.00927518774
1000.0,-0.00103489845
1500.0,-0.00222748565
2000.0,-0.00234289723
2500.0,-0.00184278016
3000.0,-0.00222748565
3500.0,-0.00118878065
4000.0,-0.00130419235
4500.0,-0.00111183955
5000.0,-0.00184278016
5500.0,-0.00149654516
6000.0,-0.00153501565
6500.0,-0.000842545705
7000.0,-0.00172736845
7500.0,-0.00245830906
8000.0,-0.00203513284
8500.0,-0.00199666223
9000.0,-0.00130419235
9500.0,-0.00199666223
10000.0,-0.00199666223
