Position_um,Power_W
0.0,0.0058513307
500.0,0.00715932995
1000.0,0.000465453166
1500.0,-0.000457840157
2000.0,-0.000457840157
2500.0,-0.00118878065
3000.0,3.80651272e-06
3500.0,-0.000650192902
4000.0,0.000196159293
4500.0,0.00015768873
5000.0,0.000234629842
5500.0,0.000426982617
6000.0,-0.000419369579
6500.0,0.000119218181
7000.0,8.07476245e-05
7500.0,-0.000919486803
8000.0,-0.000573251804
8500.0,-0.000804075156
9000.0,-0.000303957931
9500.0,-0.00122725125
10000.0,-0.000727134058
